Page title,URL,Article Body
How Can I Check My Balance?,https://mobile-help.talk-home.com/support/solutions/articles/101000422213-how-can-i-check-my-balance-,Check your balance instantly by dialing *579# from your phone. You can also check your balance in the Talk Home App or by dialing 579 to reach Customer Support.
Why Can't I Make a Call?,https://mobile-help.talk-home.com/support/solutions/articles/101000421142-why-can-t-i-make-a-call-,"If you can’t make calls, common checks include: ensure you have credit or an active plan; verify network signal (toggle Airplane Mode, restart); reinsert the SIM; confirm no call bars or restrictions on your account; and check for local outages."
Why Can't I Receive And Send Texts?,https://mobile-help.talk-home.com/support/solutions/articles/101000421164-why-can-t-i-receive-and-send-texts-,"If SMS isn’t working, check: credit/plan status; network signal; the SMS Centre number (SMSC) set correctly (Talk Home SMSC: +447870002408); SIM seating; device settings (turn off RCS/Chat); number format with correct country code; and any network outage."
Easy Guide on How to Setup Internet APN Settings,https://mobile-help.talk-home.com/support/solutions/articles/101000421159-talk-home-mobile-a-guide-to-apn-settings-,"If your mobile data isn�t working but can still make calls and send texts, your access point name (APN) settings might be problematic or you don't have data allowances or SIM credit available.

To configure the APN setting, you can follow the guide given below. 

Pop over to your phone settings > Connections > Mobile Networks > Access point Names > Tap on Reset to default.  

If this doesn�t work, here�s how you can manually enter the APN. 

On Android 

Name: EE Internet
APN: everywhere
Proxy: Not Required
Port: Not Required
Username: secure
Password: secure
Server: Not Required
MMSC: http://mms/
MMS proxy: 149.254.201.135
MMS port: 8080
MCC: 234
MNC: 30
 Authentication type: Not Required or just use the default value shown. 

Once done, SAVE the settings.

On iPhone 

The APN on your iOS device is configured automatically upon resetting the network settings.

Follow these simple steps to reset your APN.  

Settings > Mobile > Mobile Data Network > Tap on Reset Settings.  

To contact the Customer Services team, dial 579 from Talk Home Mobile or +44(0)330 993 7339 from any other network."
Why Can't I Use Vouchers or Balance to Purchase Certain Plans?,https://mobile-help.talk-home.com/support/solutions/articles/101000422239-why-can-t-i-use-vouchers-or-balance-to-purchase-certain-plans-,"Some plans (e.g., monthly/rolling) are billed via your saved payment method and cannot be purchased with SIM balance or vouchers. PAYG plans use your available credit. Keep your default payment method up to date for uninterrupted service."
Picture Message (MMS) Not Working| How to Fix it?,https://mobile-help.talk-home.com/support/solutions/articles/101000424796-picture-message-mms-not-working-how-to-fix-it-,"If MMS isn’t working, check your MMS APN settings and update them manually if needed. Ensure the picture size is under ~300KB, then try again. For device paths: iOS → Settings > Mobile Data > Mobile Data Network; Android → Settings > Mobile Networks > Access Point Names (APN). Contact support if issues persist (dial 579 or email cs-mobile@talk-home.com)."
How to Turn on 4G on My Phone,https://mobile-help.talk-home.com/support/solutions/articles/101000421168-how-to-turn-on-4g-5g-on-my-phone-,"Talk Home SIMs are 4G/5G‑ready. Insert the SIM and use 4G/5G automatically. If 4G is not working, toggle Airplane Mode, check Preferred network mode (e.g., 2G/3G/4G auto), reboot, reinsert the SIM, update software, or reset network settings."
Can I Change My Number To Talk Home,https://mobile-help.talk-home.com/support/solutions/articles/101000419479-can-i-change-my-number-to-talk-home-mobile-,You can keep your existing number by porting with a PAC code. Steps: order FREE Talk Home SIM → text ‘PAC’ to 65075 from your old SIM → insert and activate your Talk Home SIM (temporary number) → submit PAC and select a transfer date → restart your phone after port completes.
Can I Order a Prepaid SIM?,https://mobile-help.talk-home.com/support/solutions/articles/101000418973-can-i-order-a-prepaid-sim-,Talk Home offers PAYG (Pay‑as‑You‑Go) SIMs instead of prepaid bundles. Order a FREE SIM from the website (‘Free SIM’). Typical delivery: ~2 working days within the UK.
Can I Put a 5G SIM in a Phone that’s Not 5G Ready?,https://mobile-help.talk-home.com/support/solutions/articles/101000419561-can-i-put-a-5g-sim-in-a-phone-that-s-not-5g-ready-,"Yes, a 5G SIM works in a 4G phone—but you’ll get 4G speeds on that device."
How to Keep My Existing Number?,https://mobile-help.talk-home.com/support/solutions/articles/101000418928-can-i-keep-my-old-number-,"To join with your current number, request a PAC from your existing provider, order your FREE Talk Home SIM, and on checkout toggle ‘Bring in your number’ to enter the PAC. Porting typically completes within 1 working day once confirmed."
Can I Order A SIM Outside the UK?,https://mobile-help.talk-home.com/support/solutions/articles/101000421096-can-i-order-a-sim-outside-the-uk-,"You can place an order from outside the UK, but delivery is only made to UK addresses."
Can Data be Carried Forward to the Next Month?,https://mobile-help.talk-home.com/support/solutions/articles/101000423778-can-data-be-carried-forward-to-the-next-month-,Unused data/minutes/SMS do not carry forward to the next month; allowances reset each cycle. You can enable auto‑renewal in account Settings so your plan renews automatically.
Are There Any Monthly Hidden Charges?,https://mobile-help.talk-home.com/support/solutions/articles/101000423842-are-there-any-monthly-hidden-charges-,No hidden monthly charges. Plans are SIM‑only/PAYG with transparent pricing. Check remaining data in your dashboard and use auto‑renew to avoid running low.
Can I Check My Voicemail from Another Phone?,https://mobile-help.talk-home.com/support/solutions/articles/101000421163-can-i-check-my-voicemail-from-another-phone-,"Yes. Call your number, interrupt the greeting (press # or * as prompted), then enter your voicemail PIN to access messages from another phone. If you don’t have a PIN, contact support (dial 579)."
Can I Top up through PayPal?,https://mobile-help.talk-home.com/support/solutions/articles/101000421714-can-i-top-up-through-paypal-,You can top‑up through PayPal: go to the website → Top‑Up → log in → Payment Methods → choose PayPal → add details → confirm to credit your SIM.
Can I Get Itemised Bill?,https://mobile-help.talk-home.com/support/solutions/articles/101000424096-can-i-get-itemized-bill-,"Register your number on the website, then email cs-mobile@talk-home.com with valid proof‑of‑address to request an itemised bill (last 12 months). Delivery typically 4–5 working days; free of charge."
How Can I Cancel a Monthly Plan?,https://mobile-help.talk-home.com/support/solutions/articles/101000424121-how-can-i-cancel-a-monthly-plan-,Monthly rolling plans can be cancelled; use account options or contact Customer Services to stop auto‑renewal on your plan date before the next cycle.
Can I Buy Mobile Phones via Talk Home,https://mobile-help.talk-home.com/support/solutions/articles/101000424127-can-i-buy-mobile-phones-via-talk-home-mobile-,Talk Home focuses on SIM‑only/PAYG freedom; it doesn’t sell phones on contract. Use any unlocked handset with your Talk Home SIM.
3G Switch Off - What Does it Mean for You?,https://mobile-help.talk-home.com/support/solutions/articles/101000523776-3g-switch-off-what-does-is-mean-for-you-,"UK operators are retiring 3G to strengthen 4G/5G. Ensure your phone/SIM are 4G/5G‑ready and enable 4G in settings. If your SIM isn’t 4G/5G, Talk Home will replace it free. Benefits: clearer calls, faster data, better coverage and battery life."
How to Get Promos & Offers,https://mobile-help.talk-home.com/support/solutions/articles/101000418977-how-can-i-receive-talk-home-mobiles-offers-and-promotions-,Promos and offers are shared via email and on the website; you can also use the My THM app to get latest updates.
Does Talk Home Mobile Have an App,https://mobile-help.talk-home.com/support/solutions/articles/101000418949-does-talk-home-mobile-has-an-app-,"Yes—Talk Home has an app for calling/top‑ups and account control. Install the app, log in, and enable Auto Top‑Up if desired; use live chat or email for support."
How to Order Free Sim Card,https://mobile-help.talk-home.com/support/solutions/articles/101000418965-where-can-i-order-my-sim-,"Order a FREE Talk Home SIM from the website via the ‘Free SIM’ option. Once received, insert to auto‑activate, or select the network manually if needed."
Which Mobile Handset Can I Use with Talk Home Mobile?,https://mobile-help.talk-home.com/support/solutions/articles/101000419105-which-mobile-handset-can-i-use-with-talk-home-mobile-,"Use any unlocked handset with a Talk Home SIM. If your phone shows ‘Enter Unlock Code’ when inserting the SIM, contact your previous provider for an unlock/subsidy PIN or visit a mobile shop."
How Can I Activate My SIM?,https://mobile-help.talk-home.com/support/solutions/articles/101000419022-how-can-i-activate-my-sim-,"Insert your Talk Home SIM and power on; activation is automatic. If it doesn’t connect, mount the SIM correctly, check Wi‑Fi/mobile data, select the network mode, or contact support for further steps."
How To Top Up My Sim?,https://mobile-help.talk-home.com/support/solutions/articles/101000419019-how-to-top-up-my-sim-,"Top‑up online: choose Top‑Up on the website, select amount, and pay by Card or PayPal. You can also enable Auto Top‑Up to maintain a minimum balance."
Do You Offer Contract Services?,https://mobile-help.talk-home.com/support/solutions/articles/101000419045-do-you-offer-contract-services-,Talk Home emphasises no‑contract flexibility—SIM‑only/PAYG rather than long‑term handset contracts.
Do Talk Home Provide Headset with SIM?,https://mobile-help.talk-home.com/support/solutions/articles/101000419029-do-talk-home-provide-headset-with-sim-,SIM packs do not include accessories such as headsets. Use any compatible headset with your device.
iMessage Not Working After Porting? Fix it,https://mobile-help.talk-home.com/support/solutions/articles/101000419352-my-imessage-isn-t-working-after-transferring-to-talk-home-mobile-what-should-i-do-,"Talk Home SIMs support iMessage. If activation fails after porting, contact Customer Services (dial 579 or +44 (0)330 993 7339) or email cs-mobile@talk-home.com for assistance."
How Can I Activate My SIM?,https://mobile-help.talk-home.com/support/solutions/articles/101000419546-how-can-i-activate-my-sim-,Activation is automatic when the SIM is inserted and the phone is on. Ensure the device is unlocked and in coverage; select the network manually if needed.
How to Unblock My Talk Home SIM,https://mobile-help.talk-home.com/support/solutions/articles/101000419477-how-can-i-unblock-my-talk-home-sim-,"If your SIM is blocked, contact Customer Services to verify your account and obtain the necessary PUK/steps to restore service."
How Can I Keep My Current Number While Joining Talk Home?,https://mobile-help.talk-home.com/support/solutions/articles/101000421092-how-can-i-keep-my-current-number-while-joining-talk-home-,Keep your current number by providing a PAC during SIM order (‘Bring in your number’) or via porting page; porting usually completes in one working day.
How Can I Change My Talk Home Number?,https://mobile-help.talk-home.com/support/solutions/articles/101000421093-how-can-i-change-my-talk-home-number-,"To change your assigned Talk Home number, contact Customer Services; number changes depend on availability and account verification."
How Do I Order My 5G Talk Home Mobile SIM?,https://mobile-help.talk-home.com/support/solutions/articles/101000419580-how-do-i-order-my-5g-talk-home-mobile-sim-,"Order your 5G‑ready Talk Home SIM from the website; once delivered, insert to activate and enjoy 4G/5G where available."
Do You Throttle Data?,https://mobile-help.talk-home.com/support/solutions/articles/101000421133-do-you-throttle-data-,Talk Home plans are designed for full‑speed data; check your specific plan’s fair‑use terms and local coverage for performance expectations.
How Can I Order a Replacement SIM?,https://mobile-help.talk-home.com/support/solutions/articles/101000421134-how-can-i-order-a-replacement-sim-,"Order a FREE replacement SIM from the Talk Home Mobile website: open the sidebar Free SIM → choose Need a replacement SIM�, sign in (or create an account), enter your delivery details, and submit. Delivery is free; for help dial 579 or +44 (0)330 993 7339 or email cs-mobile@talk-home.com."
Do You Have Any Restrictions on Data Usage?,https://mobile-help.talk-home.com/support/solutions/articles/101000421126-do-you-have-any-restrictions-on-data-usage-,Data is subject to the fair use policy per bundle. You're free to use your allowance on any sites/apps; PAYG and monthly plans may have daily/plan limits under fair use.
How Do I Select My Network Manually?,https://mobile-help.talk-home.com/support/solutions/articles/101000421166-how-do-i-select-my-network-manually-,Android: Settings Mobile Networks → Network Operators select Manual and pick a network. iOS: Settings  Cellular Network Selection turn off Automatic choose your network. Steps can vary by device/iOS version.
I Have been Charged for Internet Access When I Use Wi-Fi?,https://mobile-help.talk-home.com/support/solutions/articles/101000421186-i-have-been-charged-for-internet-access-when-i-use-wi-fi-,"Phones may switch from WiFi to mobile data if the WiFi signal drops or background apps use data. To avoid charges, turn off Mobile Data while on WiFi and disable background updates that use data."
"I Am Unable to Top-up Online, Showing an Error",https://mobile-help.talk-home.com/support/solutions/articles/101000421205-i-am-unable-to-top-up-online-showing-error-what-should-i-do-,"If online top-up errors occur, sign in to your account and try again, or use an alternative payment (Card/PayPal) from the dashboard. If the issue persists, contact support via live chat or 579; you can also top up after logging in at mobile.talk-home.com."
How Do I Get into Voicemail?,https://mobile-help.talk-home.com/support/solutions/articles/101000421138-how-do-i-get-into-voicemail-,"Dial your voicemail from your Talk Home phone, or call your own number and follow the prompts. If needed, set/enter your voicemail PIN. For remote access, interrupt your greeting (e.g., press * or #) and enter the PIN."
Can I Auto-renew a Plan for My Talk Home Mobile Account?,https://mobile-help.talk-home.com/support/solutions/articles/101000423736-can-i-auto-renew-a-plan-for-my-talk-home-mobile-account-,Yes. Sign in to your Talk Home account Settings enable Auto-renew add a saved payment method (Card/PayPal). Your plan will renew automatically at expiry.
Are there any More than 1-Months Plans,https://mobile-help.talk-home.com/support/solutions/articles/101000423737-do-you-have-more-than-a-1-month-plan-for-talk-home-mobile-,Monthly plans run on 30-day cycles. PAYG bundles last until allowances are used (up to 30 days). You can enable auto-renew for continuous service; no long-term contracts.
I Activated a Wrong Plan. What Should I Do?,https://mobile-help.talk-home.com/support/solutions/articles/101000423771-i-activated-a-wrong-plan-what-should-i-do-,Top up if needed and contact Customer Services (579 or +44 (0)330 993 7339 or cs-mobile@talk-home.com). They can review and help correct a mistakenly activated plan.
Can I Activate One Plan Twice in a Month?,https://mobile-help.talk-home.com/support/solutions/articles/101000423774-can-i-activate-one-plan-twice-in-a-month-,"Yes. You can have **up to 10 bundles** active at the same time, either the **same** bundle repeated or **different** bundles (data/SMS/calls). Each bundle follows its own 30-day validity."
How Much Does it Cost to Access my Voicemail?,https://mobile-help.talk-home.com/support/solutions/articles/101000423840-how-much-does-it-cost-to-access-my-voicemail-,Voicemail access follows your plan/PAYG rates. Check your bundle or PAYG call rate page in your account for specific charges when retrieving voicemail.
What is the Difference Between Monthly and Pay-as-you-go Plans? | Talk Home : Talk Home Mobile,https://mobile-help.talk-home.com/support/solutions/articles/101000423845-what-is-the-difference-between-monthly-and-pay-as-you-go-plans-,"Monthly plans: fixed 30‑day allowances at discounted pricing. PAYG: top up first, then pay for usage or buy bundles as needed; auto‑renew is optional."
How Can I Check the Call Rates?,https://mobile-help.talk-home.com/support/solutions/articles/101000423832-how-can-i-check-the-call-rates-,"If you’re not on an inclusive plan, you can view national, international and roaming call rates on the Talk Home website/account before calling."
How Can I Subscribe to Offers?,https://mobile-help.talk-home.com/support/solutions/articles/101000424094-how-can-i-subscribe-to-offers-,"Log in at mobile.talk-home.com → Plans to buy Monthly or PAYG bundles, or top up first then subscribe. Offers activate instantly or within minutes; support available via cs-mobile@talk-home.com or 579."
Is VAT Applied on Talk Home Mobile's Products/Services?,https://mobile-help.talk-home.com/support/solutions/articles/101000424093-how-do-i-download-vat-receipt-,"Download VAT receipts from your account billing/history section. If you need assistance retrieving VAT documentation, contact Customer Services for help."
How Can I Deactivate My Account?,https://mobile-help.talk-home.com/support/solutions/articles/101000424102-how-can-i-deactivate-my-account-,"From **My Account** on the website, choose **Delete** to request deactivation. Inactive accounts may be deactivated after 365 days. For help, contact cs-mobile@talk-home.com or call 579 / +44 (0)330 993 7339."
How Can I Cancel the Account of Someone Who Passed Away?,https://mobile-help.talk-home.com/support/solutions/articles/101000424098-how-can-i-cancel-the-account-of-someone-who-passed-away-,"Please contact Customer Services (cs-mobile@talk-home.com, 579, or +44 (0)330 993 7339). The team will guide you through closing the account and any documentation required."
How Can I Update My Personal Details?,https://mobile-help.talk-home.com/support/solutions/articles/101000424116-how-can-i-update-my-personal-details-,"Sign in My Talk Home Account details → edit your information Save. Use this to update address, contact details, and other profile data."
How Can I Check My Account Summary?,https://mobile-help.talk-home.com/support/solutions/articles/101000424117-how-can-i-check-my-account-summary-,Sign in and open **My Talk Home** at the bottom of the page to view **Usage History** and **Payment History** for your account.
Updating or Changing Card Details,https://mobile-help.talk-home.com/support/solutions/articles/101000424131-how-can-i-update-or-change-my-card-details-,"Sign in, Payment Methods, add/update your card and save changes. You can switch between card and PayPal as needed."
Does Talk Home Mobile support Wi-Fi calling?,https://mobile-help.talk-home.com/support/solutions/articles/101000485446-does-talk-home-mobile-support-wi-fi-calling-,Talk Home's knowledge base addresses WiFi Calling support; check device/network compatibility in your phone settings and Talk Home articles for current availability.
Does Talk Home Mobile support VoLTE? ,https://mobile-help.talk-home.com/support/solutions/articles/101000485448-does-talk-home-mobile-support-volte-,VoLTE (4G Calling) is **not currently supported** by Talk Home Mobile; keep an eye on updates as 5G is available and VoLTE may be introduced later.
How can I file a complaint with Talk Home Mobile?,https://mobile-help.talk-home.com/support/solutions/articles/101000500913-how-can-i-file-a-complaint-with-talk-home-mobile-,"You can complain via: **phone** (dial 579, Mon–Fri 9am–5pm), **email** (cs-mobile@talk-home.com), **post** (50 Shad Thames, London SE1 2LY), or **live chat** via your dashboard."
What does the 50GB data plan include?,https://mobile-help.talk-home.com/support/solutions/articles/101000552929-what-does-the-50gb-data-plan-include-,"The 50GB plan includes **50GB data**, **unlimited UK calls & texts**, and **EU roaming** with **15GB** usable in the EU; rolling monthly, cancel anytime."
Subject Access Request | Talk Home,https://mobile-help.talk-home.com/support/solutions/articles/101000552477-how-can-i-make-a-subject-access-request-sar-,"Submit a SAR to receive the personal data Talk Home holds. Typical response is within **one month** (up to two extra months for complex/multiple requests). You can request items like recent call recordings (90 days), account details, contracts, and last 6 months’ call logs; content of SMS/MMS/voicemails and older logs are excluded."
Can I upgrade or downgrade my 50 GB plan after a month?,https://mobile-help.talk-home.com/support/solutions/articles/101000552933-can-i-upgrade-or-downgrade-my-50-gb-plan-after-a-month-,"Yes you're not locked in. After each month, you can upgrade to a higher allowance (e.g., unlimited) or downgrade to a smaller plan by logging in and changing your plan."
Talk Home Mobile Customer Services Number,https://mobile-help.talk-home.com/support/solutions/articles/101000418983-what-is-talk-home-mobile-s-customer-services-number-,"Customer Services: dial **579** from a Talk Home SIM, or call **+44 (0)330 993 7339** from any network. Live chat is also available from the website/account."
What Should I Do if My Handset is Locked?,https://mobile-help.talk-home.com/support/solutions/articles/101000419175-what-should-i-do-if-my-handset-is-locked-,"If your phone shows messages like, blocked/incorrect SIM/barred/SP 'lock it' likely locked to another network. Ask your previous provider for an unlock/subsidy code, or contact Talk Home support for guidance."
What Are the Payment Methods for Top-up?,https://mobile-help.talk-home.com/support/solutions/articles/101000419094-what-are-the-payment-methods-for-top-up-,"Top up with **Debit/Credit Card** or **PayPal** from the Top-Up page; verify your number, select the amount, choose payment method, and complete checkout."
How to Contact Someone at Talk Home Mobile,https://mobile-help.talk-home.com/support/solutions/articles/101000419014-how-do-i-contact-someone-if-i-have-a-problem-,"Use **579** from your Talk Home SIM, **+44 (0)330 993 7339**, or website **live chat**. You can also open a support ticket via the Help portal if needed."
Where Can I Buy Talk Home Mobile SIM or Top-up?,https://mobile-help.talk-home.com/support/solutions/articles/101000419166-where-can-i-buy-talk-home-mobile-sim-or-top-up-,"Talk Home Mobile makes it easy and accessible for everyone to always stay connected on the go. Millions of people rely on Talk Home to connect to their loved ones. You can buy Talk Home SIM or top up your account in two ways:

Order your free SIM
You can order your free SIM card by going to the main page of Talk Home Mobile. No contracts, hidden fees or credit checks. Just enter your address and get the SIM delivered to your home. If you want, you can add mobile credit to your SIM or add a special plan to your SIM along with the order for which you’ll have to pay.

Top-ups
You can top-up your SIM card from the multiple store across the UK. Or simply log in to your dashboard and top-up your account."
What To Do When I Receive My SIM?,https://mobile-help.talk-home.com/support/solutions/articles/101000419025-what-to-do-when-i-receive-my-sim-,"As soon as you receive your Talk Home Mobile SIM, mount it on your smartphone’s SIM card slot. Once you mount your Talk Home Mobile SIM, just buy a subscription plan or instant mobile top-up. Once you buy the mobile credit, you will enjoy all the services offered by Talk Home Mobile.

Setup your Dashboard
Once you have received your SIM card, setup your dashboard to enjoy truly non-stop connectivity. If there is any error in registering your SIM card, simply connect with our customer support, and you will receive the necessary guidance to activate your SIM. If you need more information about this question, connect with our live customer support available on our official website."
How Much Time It Takes to Deliver Talk Home SIM,https://mobile-help.talk-home.com/support/solutions/articles/101000418942-how-much-time-it-takes-to-deliver-talk-home-sim-,
Is It Mandatory to Register My Details to Use Talk Home?,https://mobile-help.talk-home.com/support/solutions/articles/101000419028-is-it-mandatory-to-register-my-details-to-use-talk-home-,"You must have a personal account at Talk Home Mobile to use the services. Create your account by signing up on the website with your email, mailing address and mobile number. Your details are kept secure and used only for service delivery, and you can change them whenever you want."
Different Sim Sizes of Talk Home Mobile,https://mobile-help.talk-home.com/support/solutions/articles/101000418948-what-are-different-sim-sizes-available-,"Talk Home Mobile's SIM card comes in three sizes: Standard (25mm x 15mm), Micro (15mm x 12mm), and Nano (12.3mm x 8mm). Take the SIM out of the packaging and pop out the size required for your handset."
Why Talk Home SIM Stopped Working,https://mobile-help.talk-home.com/support/solutions/articles/101000419097-i-haven-t-used-talk-home-mobile-for-a-while-it-stopped-working-why-,"If you haven't used your Talk Home SIM for a while, its status may change: Restricted (no chargeable event within 90 days; remains restricted for another 90 days unless reset or a chargeable event occurs), Suspended (inbound/outbound restricted and pending retirement; remains for 180 days unless reset or topped up), Expired (all activity blocked and SIM about to be disconnected), Disconnected (SIM and number disconnected and cannot be reactivated). For help, contact customer services at cs-mobile@talk-home.com or +44 (0)330 993 7339."
Is Mobile SIM Really Free?,https://mobile-help.talk-home.com/support/solutions/articles/101000419186-is-mobile-sim-really-free-,"Yes—Talk Home Mobile offers a free SIM card with no binding contract. Order your free SIM to be delivered to your doorstep. If you select any plan or add credit during the order, you will pay for that. Note: Once you've ordered your SIM, it'll be delivered in 2–3 working days."
Talk Home Mobile SIM Activation,https://mobile-help.talk-home.com/support/solutions/articles/101000419342-how-do-i-activate-my-talk-home-mobile-sim-,"Insert your Talk Home SIM into your phone to activate—it’s ready to use. Your number is printed on the SIM card holder. The SIM is enabled to call other Talk Home users for free; add credit to call other numbers. Top up via vouchers in most UK stores or add credit online. For difficulties, contact customer services at cs-mobile@talk-home.com."
What If I Don't Receive My SIM,https://mobile-help.talk-home.com/support/solutions/articles/101000419344-what-should-i-do-if-i-don-t-receive-my-sim-,
How Can I Transfer My Number To Another Network,https://mobile-help.talk-home.com/support/solutions/articles/101000419488-how-can-i-transfer-my-number-to-another-network-,"To transfer your Talk Home number to another network, request a PAC code. Text PAC to 65075 from your Talk Home number or use the port-out option in your online account."
What Is My Talk Home Number?,https://mobile-help.talk-home.com/support/solutions/articles/101000419503-what-is-my-talk-home-number-,To find your Talk Home mobile number: (1) Check the SIM jacket—the number is printed on the card packaging. (2) Dial *123*9# to display your number on the screen.
I Need a Different Size SIM - What Do I Do?,https://mobile-help.talk-home.com/support/solutions/articles/101000419496-i-need-a-different-size-sim-what-do-i-do-,"Talk Home SIM comes in 3 sizes—Standard (25mm x 15mm), Micro (15mm x 12mm), and Nano (12.3mm x 8mm). Take the SIM out of the packaging and pop out the size required for your handset. If you need a different size, use the appropriate jacket in the SIM card holder."
What To Do About Spam Calls And Text?,https://mobile-help.talk-home.com/support/solutions/articles/101000419491-what-to-do-about-spam-calls-and-text-,"If you receive spam calls or texts: block spam numbers from your phone settings, restrict unknown callers, blacklist contacts, install spam identification/blocking apps, and file complaints with relevant authorities. For help, dial 579 from your SIM or email cs-mobile@talk-home.com."
What Is My Default Talk Home PIN?,https://mobile-help.talk-home.com/support/solutions/articles/101000419515-what-is-my-default-talk-home-pin-,"Your default Talk Home SIM PIN is 0000. If you enter the PIN incorrectly three times, the phone locks; unlock using the PUK code printed on the SIM holder. New users may need to enter the PUK while registering on the Talk Home Online Portal."
I Lost my SIM. What Should I Do?,https://mobile-help.talk-home.com/support/solutions/articles/101000419522-i-lost-my-sim-what-should-i-do-,"If you lost your Talk Home SIM, email support and verify your identity registered on the SIM. After verification, Talk Home will provide a replacement SIM delivered to your address. Once received, pop out the correct size, insert the SIM, and add credit to start using services."
